day,temp,humidity,city
0,9.82900023168589,69.7668785142306,San Antonio
1,12.961165388989915,71.3932023473225,San Antonio
2,11.74403664181225,55.696123237042514,Dallas
3,14.69460367128815,66.08601669477513,San Antonio
4,18.579177484034734,38.491316838166284,Los Angeles
5,19.433660175715055,80.30632115195979,New York
6,18.929908491094753,30.784884270860562,Philadelphia
7,17.829257787290516,36.58918084572722,San Diego
8,21.440554988679086,79.74314635437322,New York
9,20.102905018317443,73.3511724503902,Houston
10,20.140464271110137,75.98639902475333,Houston
11,16.587843373676023,47.32852448618858,Chicago
12,16.42590441265453,43.6397970101665,Phoenix
13,14.300458483457474,83.73850004608278,Houston
14,12.12053430303758,66.94086469169875,Philadelphia
15,10.208844671076166,82.32815963930832,Chicago
16,6.03853111678066,49.247326675515154,Philadelphia
17,24.47451547600557,46.070670429596944,Chicago
18,4.152204914532161,60.40145789138812,San Antonio
19,1.7737544996429973,36.027995835900846,New York
20,2.433541682459592,30.716602328656165,Philadelphia
21,1.150686583929426,66.14019570126766,Los Angeles
22,0.32519402342109505,49.030534139661825,Chicago
23,1.5132467128366698,68.61657321453454,San Diego
24,-0.30592899861079226,88.89357254223248,Philadelphia
25,26.50454234474286,78.3465026627911,Dallas
26,0.9268367374822348,89.07810871257004,San Jose
27,5.539949985049529,75.75295284036244,Los Angeles
28,6.362429492033756,80.70518173050958,Dallas
29,20.933861859272337,38.00701510896335,San Antonio
30,11.909707684144912,60.93512509636449,Philadelphia
31,10.255717169697336,78.99919954739316,Phoenix
32,15.727255039292727,39.16853702633934,Chicago
33,16.574812853320374,66.04295041726638,Philadelphia
34,16.291577161166582,82.99324114937849,San Antonio
35,18.656773812705413,47.02896631162162,Chicago
36,19.558806117191068,51.397767991425255,San Antonio
37,19.93015791317683,42.64740013109998,San Diego
38,21.518307622637288,50.698009332322755,Houston
39,19.618092955023123,43.30488065848212,Los Angeles
40,17.1666368741447,30.217726380695808,San Jose
41,17.594045423988906,35.97549462220152,Los Angeles
42,15.948358105080704,41.27388863122579,Los Angeles
43,13.913599576339235,75.84334822523851,New York
44,12.604204676188438,71.3853097092646,New York
45,9.624285185985567,88.84133354599871,Los Angeles
46,7.846311524560355,43.74012745630688,Chicago
47,5.092859525347147,41.23484066487556,San Antonio
48,4.366196266483881,32.19915237885178,Phoenix
49,3.6124979738801257,87.04776845664244,San Antonio
50,1.5886502758668353,89.32775869164081,Los Angeles
51,0.6612636979727097,44.24582766408439,San Jose
52,-0.7826990407259221,58.45329170532963,Los Angeles
53,-1.893059729878214,88.01013500924711,San Jose
54,1.452916422471208,42.4441937469155,Houston
55,0.9976983918246973,66.28827151304401,New York
56,2.4126706566182015,73.82470048153539,Phoenix
57,3.2688848322688915,65.53712467419679,San Jose
58,6.215882673400385,67.14957477208901,Los Angeles
59,6.608302291840255,36.6678791561322,Chicago
60,9.156451592118383,60.66597365427645,Los Angeles
61,14.0528448083067,83.38663244682118,San Antonio
62,13.769352181256734,77.05720874480988,Chicago
63,16.555086205465436,86.18844910515372,New York
64,17.217996166667746,43.14321883230849,Houston
65,19.288795163520184,64.82429743220987,Philadelphia
66,19.79875248376817,47.081684327249874,Chicago
67,45.59877164908819,58.21649892496793,Houston
68,20.302614569885773,55.07051663431679,San Diego
69,19.300340757309204,35.970147492108765,San Jose
70,18.46965915374642,76.67045069493997,Houston
71,17.562391048352087,50.073904968537136,Los Angeles
72,17.226814735280055,60.87706363336838,Philadelphia
73,15.480670302098837,87.58255503800642,Los Angeles
74,11.866710680193679,57.14741822459508,Dallas
75,10.722194890375409,52.67230567488285,New York
76,8.65678238965906,67.1525322354106,Chicago
77,5.4943650761641045,63.37972281893405,Los Angeles
78,3.3253139523005655,74.37167667066221,Dallas
79,2.421776317973174,57.21611846811752,San Jose
80,22.79571280951306,69.93635790517015,Chicago
81,0.05837235056766604,88.98343322493471,Phoenix
82,-1.0500107962812633,85.28089459318241,New York
83,-1.2832786819115767,65.91531835821985,Houston
84,-0.49560572501484823,43.1190386776884,Dallas
85,3.1679663614950213,63.08238529544215,San Jose
86,1.9311893227219334,63.38376579775872,Los Angeles
87,4.579462650254716,47.48936533933745,San Diego
88,6.560043077320334,87.63858765351328,Dallas
89,7.899931987170561,53.51286272099683,Philadelphia
90,9.412340185464458,37.83356366594562,Phoenix
91,12.505838867056463,80.10363408036922,San Antonio
92,13.881953108855276,89.7846501028169,Houston
93,16.54863447952868,50.093780603922255,Phoenix
94,16.834242936815244,69.33443684468293,Chicago
95,19.78539452447607,70.02038199029315,New York
96,19.78881301769005,53.264124497401866,Houston
97,19.966653906831827,36.89719431495203,San Diego
98,21.561425046030784,85.40513889110107,Philadelphia
99,18.024204989497022,81.31639721975458,Los Angeles
